embedding_model,chunk_size,overlap_size,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@7,recall@8,recall@9,recall@10,recall@11,recall@12,recall@13,recall@14,recall@15
all-minilm:l6-v2,200,0,0.326530612,0.367346939,0.387755102,0.408163265,0.428571429,0.448979592,0.469387755,0.469387755,0.489795918,0.489795918,0.510204082,0.510204082,0.510204082,0.530612245,0.530612245
all-minilm:l6-v2,200,50,0.346938776,0.367346939,0.387755102,0.408163265,0.408163265,0.408163265,0.428571429,0.448979592,0.448979592,0.489795918,0.489795918,0.469387755,0.469387755,0.489795918,0.510204082
all-minilm:l6-v2,200,100,0.285714286,0.326530612,0.346938776,0.387755102,0.387755102,0.387755102,0.408163265,0.408163265,0.408163265,0.408163265,0.408163265,0.408163265,0.408163265,0.408163265,0.428571429
all-minilm:l6-v2,500,0,0.183673469,0.244897959,0.265306122,0.326530612,0.448979592,0.510204082,0.530612245,0.530612245,0.530612245,0.551020408,0.551020408,0.551020408,0.551020408,0.551020408,0.551020408
all-minilm:l6-v2,500,50,0.224489796,0.244897959,0.265306122,0.306122449,0.367346939,0.428571429,0.469387755,0.469387755,0.510204082,0.551020408,0.551020408,0.551020408,0.551020408,0.551020408,0.551020408
all-minilm:l6-v2,500,100,0.265306122,0.265306122,0.285714286,0.326530612,0.408163265,0.469387755,0.489795918,0.551020408,0.551020408,0.551020408,0.551020408,0.551020408,0.551020408,0.551020408,0.551020408
all-minilm:l6-v2,1000,0,0.163265306,0.183673469,0.244897959,0.326530612,0.346938776,0.367346939,0.387755102,0.408163265,0.448979592,0.448979592,0.448979592,0.448979592,0.489795918,0.489795918,0.489795918
all-minilm:l6-v2,1000,50,0.163265306,0.183673469,0.244897959,0.326530612,0.346938776,0.367346939,0.387755102,0.408163265,0.448979592,0.448979592,0.448979592,0.448979592,0.489795918,0.489795918,0.489795918
all-minilm:l6-v2,1000,100,0.163265306,0.183673469,0.244897959,0.326530612,0.346938776,0.387755102,0.408163265,0.428571429,0.469387755,0.469387755,0.469387755,0.469387755,0.489795918,0.489795918,0.489795918
nomic-embed-text,200,0,0.204081633,0.204081633,0.285714286,0.346938776,0.346938776,0.346938776,0.367346939,0.408163265,0.408163265,0.428571429,0.428571429,0.448979592,0.448979592,0.448979592,0.469387755
nomic-embed-text,200,50,0.306122449,0.306122449,0.367346939,0.367346939,0.387755102,0.408163265,0.428571429,0.469387755,0.489795918,0.510204082,0.530612245,0.530612245,0.530612245,0.510204082,0.510204082
nomic-embed-text,200,100,0.224489796,0.244897959,0.306122449,0.326530612,0.346938776,0.346938776,0.346938776,0.346938776,0.387755102,0.387755102,0.387755102,0.387755102,0.387755102,0.387755102,0.387755102
nomic-embed-text,500,0,0.142857143,0.244897959,0.265306122,0.265306122,0.285714286,0.306122449,0.306122449,0.326530612,0.387755102,0.387755102,0.387755102,0.367346939,0.367346939,0.367346939,0.408163265
nomic-embed-text,500,50,0.183673469,0.244897959,0.285714286,0.306122449,0.306122449,0.326530612,0.387755102,0.387755102,0.408163265,0.408163265,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429
nomic-embed-text,500,100,0.204081633,0.265306122,0.326530612,0.326530612,0.367346939,0.387755102,0.408163265,0.408163265,0.408163265,0.408163265,0.408163265,0.428571429,0.428571429,0.428571429,0.428571429
nomic-embed-text,1000,0,0.142857143,0.224489796,0.224489796,0.265306122,0.306122449,0.306122449,0.306122449,0.326530612,0.326530612,0.346938776,0.367346939,0.367346939,0.367346939,0.387755102,0.387755102
nomic-embed-text,1000,50,0.142857143,0.224489796,0.244897959,0.265306122,0.306122449,0.306122449,0.306122449,0.346938776,0.346938776,0.346938776,0.346938776,0.367346939,0.367346939,0.387755102,0.387755102
nomic-embed-text,1000,100,0.142857143,0.244897959,0.265306122,0.285714286,0.306122449,0.306122449,0.306122449,0.326530612,0.326530612,0.326530612,0.346938776,0.387755102,0.387755102,0.387755102,0.387755102
